col1,name,ra_1,dec_1,flux,x_position,y_position,radius,class_star,img_name,phot_z,mag_r_1,mag_u_1,mag_g,ID,RA_2,DEC_2,Separation_1,z_phot,mag_r_2,mag_u_2,Separation
23248203,KIDS J220903.18-313303.95,332.2632414,-31.5510966,2.08E-08,5976.710938,2953.755859,11.32416534,0.028602153,KiDS_DR3.0_332.0_-31.2_r_sci.fits,0.439999998,18.68059731,22.08424759,20.32185173,159,332.2632414,-31.5510966,1.97E-07,0.44,18.68,22.08,15.29159546
23470211,KIDS J221339.02-331156.34,333.4125681,-33.19898379,7.98E-08,16147.14551,8857.321289,13.67514706,0.028652906,KiDS_DR3.0_333.9_-33.1_r_sci.fits,0.25,16.96277428,20.16762543,18.37889671,427,333.4125681,-33.19898379,5.99E-07,0.25,16.96,20.17,8.548736572
24529970,KIDS J223037.53-300116.01,337.6563928,-30.02111347,1.22E-08,17088.77539,12628.52148,8.993330956,0.028510263,KiDS_DR3.0_338.1_-30.2_r_sci.fits,0.460000008,19.36073685,23.72740173,20.98379707,231,337.6563928,-30.02111347,7.08E-07,0.46,19.36,23.73,9.352111816
24719208,KIDS J223437.62-322148.89,338.656748,-32.36358045,1.63E-07,11903.77148,6135.887695,21.5201416,0.028627289,KiDS_DR3.0_338.8_-32.1_r_sci.fits,0.170000002,15.74885654,18.96444893,16.8039856,327,338.656748,-32.36358045,9.60E-07,0.17,15.75,18.96,16.0194397
25191838,KIDS J223901.30-314303.22,339.7553975,-31.71756222,3.83E-08,13225.39941,17670.15234,14.32723427,0.028649602,KiDS_DR3.0_340.0_-32.1_r_sci.fits,0.25,17.78369141,20.7308712,19.03209305,543,339.7553975,-31.71756223,1.06E-06,0.25,17.78,20.73,3.137969971
25299871,KIDS J224040.87-295406.76,340.1703086,-29.901879,2.68E-08,13759.95508,14941.93945,11.3793211,0.028619096,KiDS_DR3.0_340.4_-30.2_r_sci.fits,0.430000007,18.30537415,21.73974609,20.04203987,178,340.1703086,-29.901879,8.87E-07,0.43,18.31,21.74,0.913238525
26307883,KIDS J021035.24-321731.56,32.64684714,-32.29209967,2.70E-08,13925.56348,7376.384766,9.117407799,0.028636735,KiDS_DR3.0_32.9_-32.1_r_sci.fits,0.330000013,18.54540825,22.29647446,20.2302227,6,32.64684714,-32.29209967,9.92E-08,0.33,18.54,22.3,12.68920898
28742694,KIDS J230712.90-330347.99,346.8037415,-33.06333102,6.87E-08,11400.09668,11251.41211,13.57175446,0.028633285,KiDS_DR3.0_346.9_-33.1_r_sci.fits,0.170000002,17.1642704,19.96054459,18.1733551,233,346.8037415,-33.06333102,4.41E-07,0.17,17.16,19.96,1.963806152
30474438,KIDS J232951.20-303357.86,352.4633461,-30.56607349,4.13E-08,1475.108398,3039.29248,9.400852203,0.028706178,KiDS_DR3.0_351.9_-30.2_r_sci.fits,0.209999993,17.95341301,21.21570015,19.27570343,342,352.4633461,-30.56607349,1.54E-06,0.21,17.95,21.22,15.47698975
30648471,KIDS J233105.55-335829.69,352.7731277,-33.97491281,4.46E-08,9795.126953,12713.24805,20.62644768,0.028621323,KiDS_DR3.0_352.8_-34.1_r_sci.fits,0.25999999,17.28404045,20.55161285,18.5345726,103,352.7731277,-33.97491281,1.05E-07,0.26,17.28,20.55,5.809020996
31021403,KIDS J233846.75-322915.07,354.6947848,-32.48751978,2.94E-08,728.9075317,3900.196289,9.865358353,0.028628765,KiDS_DR3.0_354.1_-32.1_r_sci.fits,0.25,18.27565956,21.76682854,19.65771484,707,354.6947848,-32.48751978,1.06E-06,0.25,18.28,21.77,11.41891479
31048032,KIDS J233424.16-321206.08,353.600681,-32.20168923,1.67E-07,17366.13672,9049.993164,20.27198982,0.028628109,KiDS_DR3.0_354.1_-32.1_r_sci.fits,0.119999997,15.79136086,18.44122696,16.68886566,46,353.600681,-32.20168923,4.46E-07,0.12,15.79,18.44,4.415130615
31871652,KIDS J235147.85-325735.53,357.9493763,-32.9598699,8.34E-08,4473.222168,13196.27734,9.860619545,0.028627789,KiDS_DR3.0_357.6_-33.1_r_sci.fits,0.140000001,17.25766563,19.73232079,18.18903923,13,357.9493763,-32.9598699,8.12E-07,0.14,17.26,19.73,8.35647583
31884502,KIDS J234919.01-325050.52,357.329197,-32.847368,2.41E-08,13845.53613,15222.7373,11.97377205,0.02862029,KiDS_DR3.0_357.6_-33.1_r_sci.fits,0.280000001,18.46945953,21.5307827,19.77763176,620,357.329197,-32.847368,7.56E-07,0.28,18.47,21.53,2.815246582
